"coreID","site","month","Afruca_tangeri","Alpheidae","Ampelisca_sp","Amphinomidae","Amphipoda1","Amphipoda2","Amphipoda4","Amphipodatigre","Anthuridae","Apseudomorpha","Arcopsis_afra","Arcuatula_elegans","Arenicolidae","Armandia_sp","Austromacoma_nymphalis","Balsscallichirus_balssi","Bivalvia","Bivalvia_B1","Bulla_sp","Callinectes_marginatus","Capitellidae","CarideaA","Cirolanidae","Cirratulidae","Cochliolepis_sp","Corbula_cadenati","Corbula_chudeaui","Corbula_laticostata","Cryptomya_africana","Cumacea","Cuspidaria","Cylichnidae","Decapoda","Diopatra_sp","Diplodonta1_sp","Diplodonta_dautzenbergi","Divaricella_chavani","Eunicidae","Glycera_sp","Goniadopsis_sp","Grandidierella_sp","Haminoea_sp","Hyala_sp","Hydrobiidae","Invasora2","Keletistes_sp","Lamylucina_gaini","Lamysia_jousseaumei","Leocrates_sp","Lumbrineridae","Magelona_cincta","Malacostraca","Maldanidae","Marphysa_sanguinea","Menippe_nodifrons","Moerella_distorta ","Mysella_sp","Nephtyidae","Nereididae","Newspbiv","Oenonidae","Orbiniidae","Paraonidae","Pattela","Pelecyora_isocardia","Phyllodocida1","Pilargidae1","Pinnotheridae","Polychaeta_errantia","Polychaeta_sedentaria","Prionospio_sp","Prunum_sp","Pseudopythina_nicklesi","Senilia_senilis","Sigalion_sp","Sigambra_sp","Skeneidae","Solariella_sp","Spiochaetopterus","Syllinae","Tagelus_adansonii","Terebellidae","Terebridae","Turritella_sp","bitipocombe"
"C2A14","A",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.388535031847,0,0,0,0,127.388535031847,509.554140127389,0,0,382.165605095541,0,0,0,0,0,0,0,0,0,0,127.388535031847,0,0,0,254.777070063694,0,0,0,254.777070063694,0,0,254.777070063694,0,0,0,0,0,0,127.388535031847,0,0,0,0,0,127.388535031847,0,0,254.777070063694,0,0,509.554140127389,0,0,0,0,254.777070063694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2A15","A",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.388535031847,0,0,0,0,127.388535031847,127.388535031847,0,0,127.388535031847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.777070063694,0,0,0,0,0,0,254.777070063694,0,0,0,0,0,0,127.388535031847,0,0,0,0,0,0,0,0,0,254.777070063694,0,254.777070063694,0,0,0,0,254.777070063694,0,0,0,0,0,0,0,0,0,0,0,127.388535031847,0,0,0
"C2A16","A",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.388535031847,0,0,0,0,0,382.165605095541,0,0,254.777070063694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509.554140127389,0,0,0,0,0,0,127.388535031847,0,0,0,127.388535031847,0,0,0,0,0,0,0,0,0,0,0,0,127.388535031847,0,127.388535031847,0,0,0,0,127.388535031847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2A2","A",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.388535031847,0,127.388535031847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.388535031847,0,0,0
"C2A3","A",2,0,0,0,0,0,0,0,0,0,127.388535031847,0,0,0,0,127.388535031847,0,0,0,0,0,127.388535031847,0,0,0,0,0,0,0,0,0,0,0,0,0,254.777070063694,0,0,0,127.388535031847,0,0,0,509.554140127389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.388535031847,0,0,127.388535031847,0,0,0,0,0,0,0,0,127.388535031847,0,382.165605095541,0,0,0,0,127.388535031847,0,0,0,0
"C2A4","A",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.777070063694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636.942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.388535031847,0,0,0,0
"C2A5","A",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636.942675159236,0,0,0,0,0,0,0,0,127.388535031847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764.331210191083,0,0,0,0,254.777070063694,0,0,0,127.388535031847,0,0,0,0,0,0,127.388535031847,0,0,0,0
"C2A6","A",2,0,0,0,0,0,0,0,0,0,0,0,127.388535031847,0,0,127.388535031847,0,0,0,0,0,254.777070063694,0,0,0,0,0,127.388535031847,0,0,0,0,0,0,0,0,0,0,0,127.388535031847,254.777070063694,0,0,254.777070063694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.388535031847,0,0,382.165605095541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.388535031847,0,0,0,0
"C2A7","A",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.165605095541,0,0,127.388535031847,0,0,127.388535031847,0,0,0,0,0,0,0,0,0,0,0,127.388535031847,0,0,0,0,0,0,0,0,0,0,0,0,0,127.388535031847,0,0,0,0,0,127.388535031847,0,0,0,0,0,1656.05095541401,0,0,0,0,0,0,0,0,0,0,254.777070063694,0,0,0,0,254.777070063694,0,0,0,0
"C2A8","A",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.388535031847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.388535031847,0,0,127.388535031847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.388535031847,0,0,0,0
